Kind of Pet,Pet Full Name,All Pet Everyday Names,Pet Everyday Name 1,Pet Everyday Name 2,Pet Everyday Name 3,Pet Everyday Name 4,Pet Everyday Name 5,Pet Everyday Name 6,Pet Everyday Name 7,Pet Everyday Name 8,Pet Age (Years),Deceased?,All Pet Breed(s),Pet Breed 1,Pet Breed 2,Pet Breed 3
Cat,Squidward,Squid,Squid,,,,,,,,1,,Domestic Shorthair,Domestic Shorthair,,
Dog,Oscar The Amazing Velcrodog,Oscar,Oscar,,,,,,,,12,,Terrier,Terrier,,
Dog,Poppy,Poppy,Poppy,,,,,,,,4,,Shih Tzu,Shih Tzu,,
Cat,Daisy Dukerson,Daisy,Daisy,,,,,,,,5,,,,,
Cat,Tigger,Tigger,Tigger,,,,,,,,17,,Tabby Coloration,Tabby Coloration,,
Cat,Bubbles,Bubby,Bubby,,,,,,,,6,,,,,
Cat,Prince Charlie,Charlie,Charlie,,,,,,,,11,,Domestic Longhair,Domestic Longhair,,
Dog,Ellie Mae,Ellie,Ellie,,,,,,,,13,,Cocker Spaniel,Cocker Spaniel,,
Dog,Snowy,Snow,Snow,,,,,,,,11,,Shih Tzu,Shih Tzu,,
Dog,Bruno,Bruno,Bruno,,,,,,,,4,,Border Collie,Border Collie,,
Cat,Twitch,Twitch,Twitch,,,,,,,,11,,Domestic Shorthair,Domestic Shorthair,,
Dog,Mona,Mona,Mona,,,,,,,,12,deceased,Bluetick Beagle,Bluetick Beagle,,
Cat,Harley Davidson,Har Mar,Har Mar,,,,,,,,9,,,,,
Cat,Ted Kennedy,Teddy,Teddy,,,,,,,,1,,Domestic Shorthair,Domestic Shorthair,,
Dog,Yaz,Yazzy,Yazzy,,,,,,,,11,,Golden Retriever/ Border Collie,Golden Retriever,Border Collie,
Dog,Princess Leia Organa,Princess,Princess,,,,,,,,,deceased,Mixed,Mixed,,
Dog,Oakley,Oak; Oakey-doke,Oak,Oakey-doke,,,,,,,3,,Shih Tzu,Shih Tzu,,
Dog,Tinkerbell,Tinky,Tinky,,,,,,,,4,,Chihuahua,Chihuahua,,
Cat,Bella,Bella,Bella,,,,,,,,4,,Maine Coon,Maine Coon,,
Cat,Fup,Fup,Fup,,,,,,,,10,,,,,
Dog,Beckett,Beckett; Becky,Beckett,Becky,,,,,,,9,,Golden Retriever,Golden Retriever,,
Cat,Fudge,Fubdge,Fubdge,,,,,,,,3,,,,,
Cat,Lady Luck,Lucky,Lucky,,,,,,,,11,,Domestic Shorthair,Domestic Shorthair,,
Cat,Moose,Moose,Moose,,,,,,,,4,,Maine Coon,Maine Coon,,
Dog,Logan,Logan,Logan,,,,,,,,10,,Labrador Retriever,Labrador Retriever,,
Dog,Daisy Grace,Daisy,Daisy,,,,,,,,8,,Mixed,Mixed,,
Cat,Leela,The Cat,The Cat,,,,,,,,10,,Domestic Shorthair,Domestic Shorthair,,
Cat,Ellie,Ellie-phant,Ellie-phant,,,,,,,,9,,Calico Coloration,Calico Coloration,,
Cat,Her Royal Highness The Princess Blaze,Blaze,Blaze,,,,,,,,9,,Domestic Shorthair,Domestic Shorthair,,
Cat,Phillipe Robert Jean Luc Tugboat “toot! Toot!”,Phillipe,Phillipe,,,,,,,,4,,Manx,Manx,,
Cat,Alexander Dappercat,Alex,Alex,,,,,,,,9,,Domestic Shorthair,Domestic Shorthair,,
Dog,Lila Betterhalf,Lila,Lila,,,,,,,,13,,Greyhound,Greyhound,,
Cat,Darling,Baby Girl,Baby Girl,,,,,,,,14,,Manx,Manx,,
Cat,Smokey,Mr Moke,Mr Moke,,,,,,,,12,,British Shorthair,British Shorthair,,
Cat,Jezebel,Jez,Jez,,,,,,,,14,,Himalayan,Himalayan,,
Dog,Tula Jean,Tula,Tula,,,,,,,,1,,,,,
Cat,Edison D. Cat,Eddie,Eddie,,,,,,,,9,,Domestic Shorthair,Domestic Shorthair,,
Cat,Redford,Rasa,Rasa,,,,,,,,12,,,,,
Dog,Odin,Odin,Odin,,,,,,,,1,,Mixed,Mixed,,
Dog,Annie Piker,Annie,Annie,,,,,,,,8,,Greyhound,Greyhound,,
Dog,Rusty,Rusty,Rusty,,,,,,,,4,,Golden Retriever,Golden Retriever,,
Cat,Thomas,Tom; Old Man,Tom,Old Man,,,,,,,18,,Domestic Shorthair,Domestic Shorthair,,
Cat,Fleckchen,Monster,Monster,,,,,,,,7,,European Shorthair,European Shorthair,,
Dog,Stella Luna,Stella,Stella,,,,,,,,4,,Labrador Retriever,Labrador Retriever,,
Cat,Fay Fuller,Fay,Fay,,,,,,,,0.269230769,,,,,
Dog,Pancho Villa,Pacho,Pacho,,,,,,,,12,,Pug,Pug,,
Dog,Waldo,Waldo,Waldo,,,,,,,,9,,Cockapoo,Cockapoo,,
Cat,Luna,Kuschelmaus,Kuschelmaus,,,,,,,,8,,European Shorthair,European Shorthair,,
Dog,Yadier,Yadi,Yadi,,,,,,,,4,,Golden Retriever,Golden Retriever,,
Dog,Ruby Gem,Ruby,Ruby,,,,,,,,4,,Terrier,Terrier,,
Dog,Buddygus,Buddy; Boo,Buddy,Boo,,,,,,,1.666666667,,Golden Retriever,Golden Retriever,,
Dog,Homer,Homie,Homie,,,,,,,,5,,Welsh Springer Spaniel,Welsh Springer Spaniel,,
Dog,Pippie,Pippie; Pippo,Pippie,Pippo,,,,,,,2,,Pitbull/  Basset Hound,Pitbull,Basset Hound,
Dog,Parker,,,,,,,,,,6,,Beagle,Beagle,,
Dog,Chipper Doodle,Chip,Chip,,,,,,,,12,,Labrador Retriever,Labrador Retriever,,
Dog,Jack,Jack,Jack,,,,,,,,7,,Labrador Retriever,Labrador Retriever,,
Dog,"Xena, Warrior Pinscher",Xena,Xena,,,,,,,,14,,Miniature Pinscher,Miniature Pinscher,,
Dog,Gabby,Gabby,Gabby,,,,,,,,2,,Golden Retriever,Golden Retriever,,
Dog,Rosebud,Rosie,Rosie,,,,,,,,10,,Beagle,Beagle,,
Dog,Cooper,Coopee,Coopee,,,,,,,,10,,Yorkiepoo,Yorkiepoo,,
Dog,Shakota,Shakota,Shakota,,,,,,,,12,,Siberian Husky,Siberian Husky,,
Dog,Wilbur,Wilby,Wilby,,,,,,,,7,,French/ English Bulldog,French,English Bulldog,
Dog,Finn T. Dog,Finn,Finn,,,,,,,,0.416666667,,Weimaraner,Weimaraner,,
Cat,Wilma,Wilma Jean The Queen,Wilma Jean The Queen,,,,,,,,2,,Tabby Coloration,Tabby Coloration,,
Dog,Baylee,Baylee Boo; Taps,Baylee Boo,Taps,,,,,,,2,,,,,
Dog,Sprocket,Bark; Sprock; Spark,Bark,Sprock,Spark,,,,,,15,deceased,Mixed,Mixed,,
Cat,Peppercorn Ale,Pepper,Pepper,,,,,,,,14,,,,,
Cat,Stanley,Stan The Handsome Man,Stan The Handsome Man,,,,,,,,1,,Tabby Coloration,Tabby Coloration,,
Bird,Ahanu,Ahanu,Ahanu,,,,,,,,13,,Caique,Caique,,
Dog,Sophie,Sophie,Sophie,,,,,,,,13,,Maltese,Maltese,,
Dog,Sasha,Chunk,Chunk,,,,,,,,1,,Labrador Retriever/ German Shepherd,Labrador Retriever,German Shepherd,
Bird,Perkins The Parakeer,Perkins,Perkins,,,,,,,,3,,Parakeet,Parakeet,,
Dog,Kookie (pronounced Cookie) Pants,Noodle,Noodle,,,,,,,,15,,Jack Russell Terrier,Jack Russell Terrier,,
Dog,Miss Maisy Cakes,Maisy,Maisy,,,,,,,,1,,Rescue Mixed,Rescue Mixed,,
Dog,Han Solo,Solo,Solo,,,,,,,,3,,English Cocker Spaniel,English Cocker Spaniel,,
Dog,Lillith Anne,Lily,Lily,,,,,,,,6,,Alaskan Husky,Alaskan Husky,,
Dog,Michelangelo,Mikey,Mikey,,,,,,,,11,,English Cocker Spaniel,English Cocker Spaniel,,
Dog,Freddie Beagle,Fred; Freddie,Fred,Freddie,,,,,,,11,,Beagle,Beagle,,
Dog,Pieper,Pooper,Pooper,,,,,,,,4,,,,,
Fish,Toilet Mimosa Gillan,Togimi,Togimi,,,,,,,,0.5,,Betta,Betta,,
Dog,Jacob,Jake,Jake,,,,,,,,6,,Alaskan Husky,Alaskan Husky,,
Lizard,Drazil Marie,Drazil,Drazil,,,,,,,,4,,Bearded Dragon Lizard,Bearded Dragon Lizard,,
Dog,Titus Augustus,Tidy,Tidy,,,,,,,,9,,American Foxhound,American Foxhound,,
Dog,,Cirrus,Cirrus,,,,,,,,2,,Poodle,Poodle,,
Dog,Shelby,Shelby,Shelby,,,,,,,,14,,Labrador Retriever,Labrador Retriever,,
Dog,,Nimbus,Nimbus,,,,,,,,0.5,,Poodle,Poodle,,
Dog,Finn,Finn,Finn,,,,,,,,1,,Cavalier King Charles Spaniel,Cavalier King Charles Spaniel,,
Cat,Kitten Kitten Kittycat,Kitty,Kitty,,,,,,,,14,,American Longhair,American Longhair,,
Dog,Tessie Joan (of Arc),Tessie,Tessie,,,,,,,,7,,American Foxhound,American Foxhound,,
Dog,Ginger,Ginger,Ginger,,,,,,,,12,,Golden Retriever,Golden Retriever,,
Dog,Sadie,Sadie,Sadie,,,,,,,,6,,Golden Retriever,Golden Retriever,,
Dog,Flicka,Flicky,Flicky,,,,,,,,12,,Labrador Retriever,Labrador Retriever,,
Dog,Koda Kingslayer,Koda,Koda,,,,,,,,2,,Golden Retriever,Golden Retriever,,
Dog,Flicka,Flicky,Flicky,,,,,,,,12,,Labrador Retriever,Labrador Retriever,,
Dog,Maggie,Ms America,Ms America,,,,,,,,7,,Golden Retriever,Golden Retriever,,
Dog,Henry (after Dorian Grey),Henry,Henry,,,,,,,,1,,Brittany,Brittany,,
Dog,Megan,Puppy,Puppy,,,,,,,,10,,Mixed,Mixed,,
Cat,Dante’s Infurno,Dante,Dante,,,,,,,,7,,Maine Coon,Maine Coon,,
Cat,Gatsby,Gatsby,Gatsby,,,,,,,,0.833333333,,Unknown,Unknown,,
Cat,Tyrone,Tyrone,Tyrone,,,,,,,,0.5,,,,,
Dog,Hopper T. Dog,Hops,Hops,,,,,,,,6,,Golden Retriever,Golden Retriever,,
Dog,Snickers,Snickers,Snickers,,,,,,,,10,,Beagle,Beagle,,
Cat,Tommy Toe,Tommy,Tommy,,,,,,,,3,,,,,
Cat,Wheels,Wheels,Wheels,,,,,,,,16,,,,,
Dog,Venkman,Venk,Venk,,,,,,,,5,,Golden Retriever,Golden Retriever,,
Cat,Maisie,Maisie,Maisie,,,,,,,,0.833333333,,Unknown,Unknown,,
Dog,Murphy,Murph,Murph,,,,,,,,0.5,,Cocker Spaniel,Cocker Spaniel,,
Dog,Maggie,Schmieg,Schmieg,,,,,,,,12,,Golden Retriever,Golden Retriever,,
Cat,Lin Meow Miranda,Lin,Lin,,,,,,,,3,,American Shorthair,American Shorthair,,
Dog,Jasmine,Jasmine,Jasmine,,,,,,,,13,,Golden Retriever,Golden Retriever,,
Dog,Hurley Pearly Sky-sky,Hurley,Hurley,,,,,,,,7,,Shih Tzu,Shih Tzu,,
Dog,Queso,Queso,Queso,,,,,,,,14,,Golden Retriever,Golden Retriever,,
Dog,Breezy Anne,Breezy,Breezy,,,,,,,,5,,German Shepherd,German Shepherd,,
Dog,Riley,Riley,Riley,,,,,,,,7,,Golden Retriever,Golden Retriever,,
Fish,Fishy Fishy Fishy Iii,Fishy,Fishy,,,,,,,,0.75,,Betta,Betta,,
Dog,Homer J,Homer,Homer,,,,,,,,10,,Basenji,Basenji,,
Dog,Tucker,Tucker,Tucker,,,,,,,,7,,Golden Retriever,Golden Retriever,,
Cat,Kitty Vegas,Vegas,Vegas,,,,,,,,6,,Domestic Longhair,Domestic Longhair,,
Dog,Abby,Abby,Abby,,,,,,,,3,,Mixed,Mixed,,
Dog,Cooper Triple Bogey,Coop,Coop,,,,,,,,0.173076923,,Golden Retriever,Golden Retriever,,
Dog,Shelby,Shelby,Shelby,,,,,,,,1,,Blue Tick Coonhound/ Mountain Cur,Blue Tick Coonhound,Mountain Cur,
Cat,Dr Gaius Baltar,Gusgus,Gusgus,,,,,,,,10,,Russian Blue,Russian Blue,,
Dog,Oakley Dalton,Oaks,Oaks,,,,,,,,6,,,,,
Dog,Lucy Lou,Goose,Goose,,,,,,,,9,,Golden Retriever,Golden Retriever,,
Cat,Vasquez,Vasquez,Vasquez,,,,,,,,7,,Domestic Shorthair,Domestic Shorthair,,
Dog,Niles Crane,Niles,Niles,,,,,,,,4,,Border Collie,Border Collie,,
Dog,Little Lucky One,Lucky,Lucky,,,,,,,,13,,Chihuahua,Chihuahua,,
Dog,Benjamin Sebastian,Benjamin,Benjamin,,,,,,,,7,,Collie Basset Hound,Collie Basset Hound,,
Dog,Siris Maximus,Sirius,Sirius,,,,,,,,5,,Alaskan Husky,Alaskan Husky,,
Dog,Blaze,Blaze,Blaze,,,,,,,,5,,Labrador Retriever,Labrador Retriever,,
Dog,Brody,Brody,Brody,,,,,,,,11,,Yorkshire Terrier,Yorkshire Terrier,,
Cat,Ripley,Chubby Chubs,Chubby Chubs,,,,,,,,4,,Domestic Shorthair,Domestic Shorthair,,
Dog,Director Of Chaos,D.O.C.,D.O.C.,,,,,,,,4,,Boxer,Boxer,,
Cat,Josh Joshua Joshylin,Josh,Josh,,,,,,,,6,,Tuxedo Coloration,Tuxedo Coloration,,
Cat,Lisa,Lisa,Lisa,,,,,,,,12,deceased,,,,
Dog,Cody,Codes,Codes,,,,,,,,11,,Golden Retriever,Golden Retriever,,
Cat,Nepeta,Nepeta,Nepeta,,,,,,,,2,,Domestic Shorthair,Domestic Shorthair,,
Dog,Emma,Rotta,Rotta,,,,,,,,6,,Mittelspitz,Mittelspitz,,
Cat,Leeloo Dallas Multipass,Leeloo,Leeloo,,,,,,,,9,,LaPerm,LaPerm,,
Dog,Isabella Grace,Bella,Bella,,,,,,,,7,,Maltese,Maltese,,
Dog,Cookie Boogie,Boogie,Boogie,,,,,,,,3,,,,,
Cat,Cataria,Tarie,Tarie,,,,,,,,2,,,,,
Dog,Salina,Salina,Salina,,,,,,,,2,,Hound,Hound,,
Dog,Theodore James,Theo,Theo,,,,,,,,5,,Maltese,Maltese,,
Dog,Ofelia,Ofie Lofie,Ofie Lofie,,,,,,,,15,,Norwich Terrier,Norwich Terrier,,
Dog,Hermie,Hermie,Hermie,,,,,,,,3.5,,Pitbull/ Labrador Retriever,Pitbull,Labrador Retriever,
Lizard,Turtle,Turtle,Turtle,,,,,,,,5,,Gecko,Gecko,,
Dog,Jackson Baines Hardin,Jackson; Jack,Jackson,Jack,,,,,,,14,,Shepherd,Shepherd,,
Cat,Tali'zorah Vas Normandy,Tali,Tali,,,,,,,,9,,LaPerm,LaPerm,,
Dog,Rudy,Rudy,Rudy,,,,,,,,12,,Labrador Retriever,Labrador Retriever,,
Guinea Pig,Teddy,Teddy,Teddy,,,,,,,,3,,,,,
Dog,Chuchi,Baby Chu,Baby Chu,,,,,,,,9,,Poodle,Poodle,,
Dog,Belle Silver,Bobo,Bobo,,,,,,,,3,,Brittany,Brittany,,
Fish,Fish,Swish,Swish,,,,,,,,7,,,,,
Dog,Phoebe Buffay,Phoeb,Phoeb,,,,,,,,4.5,,Staffordshire Bull Terrier,Staffordshire Bull Terrier,,
Dog,Precious Presley,Presley,Presley,,,,,,,,1,,Labrador Retriever,Labrador Retriever,,
Cat,Boots,Fuckoff,Fuckoff,,,,,,,,10,,,,,
Dog,Sarah Jessica Parker,Parker,Parker,,,,,,,,8,,Beagle,Beagle,,
Dog,Princess Leah,Leah,Leah,,,,,,,,8,,Miniature Schnauzer,Miniature Schnauzer,,
Cat,Zeus,Zeus,Zeus,,,,,,,,2,,,,,
Dog,Mr Duke Of Carol Stream,Boo-boo,Boo-boo,,,,,,,,10,,Labrador Retriever,Labrador Retriever,,
Dog,Bruno Mars,Bruno,Bruno,,,,,,,,4,,Shih Tzu,Shih Tzu,,
Cat,Persephone,Persey,Persey,,,,,,,,2,,,,,
Dog,Reggie,Reg,Reg,,,,,,,,8,,Border Collie,Border Collie,,
Cat,Momo,Momo,Momo,,,,,,,,9,,Domestic Shorthair,Domestic Shorthair,,
Dog,Twixie,Gooben,Gooben,,,,,,,,2,,,,,
Dog,Kody,Kode,Kode,,,,,,,,10,,Golden Retriever,Golden Retriever,,
Dog,Maverick Clinton,Maverick,Maverick,,,,,,,,10,,Labrador Retriever,Labrador Retriever,,
Cat,Abbey Road,Abbey,Abbey,,,,,,,,3,,Domestic Longhair,Domestic Longhair,,
Cat,Naga,Naga,Naga,,,,,,,,6,,Domestic Shorthair,Domestic Shorthair,,
Dog,Sven,Bean,Bean,,,,,,,,5,,German Shepherd,German Shepherd,,
Dog,Lola,Lola,Lola,,,,,,,,11,,Poodle,Poodle,,
Dog,Sophie,Sophie,Sophie,,,,,,,,2,,Rottweiler,Rottweiler,,
Cat,Stinky Pete,Pete; Stinky,Pete,Stinky,,,,,,,18,,,,,
Cat,Gozer,Gozey,Gozey,,,,,,,,12,,,,,
Dog,Lily Potter,Lil,Lil,,,,,,,,2,,German Shepherd,German Shepherd,,
Dog,Dougie Mcfly,Dougie,Dougie,,,,,,,,11,,Cairn Terrier,Cairn Terrier,,
Dog,Rileyroo,Riley,Riley,,,,,,,,2,,Mixed,Mixed,,
Dog,Dobby,Boober,Boober,,,,,,,,4,,Pembroke Welsh Corgi,Pembroke Welsh Corgi,,
Cat,Sir Edward Julius Robert Kittybutt Iii,Eddie,Eddie,,,,,,,,16,,Toyger,Toyger,,
Fish,Chu-chu,Chu-chu,Chu-chu,,,,,,,,11,deceased,Goldfish,Goldfish,,
Dog,Lando,Lando,Lando,,,,,,,,5,,Bernese Mountain Dog,Bernese Mountain Dog,,
Dog,Tucker Paul,Tuck Tuck,Tuck Tuck,,,,,,,,6,,Pitbull,Pitbull,,
Dog,Schnitzel Von Krumm,Ninnel,Ninnel,,,,,,,,11,,Miniature Dachshund,Miniature Dachshund,,
Dog,Wrigley,Wriglry Pigley,Wriglry Pigley,,,,,,,,13,,Beagle,Beagle,,
Dog,Wally,Wal,Wal,,,,,,,,0.333333333,,Golden Retriever,Golden Retriever,,
Dog,Snickers,Doodle,Doodle,,,,,,,,11,,Beagle,Beagle,,
Dog,Charlie,Charlie,Charlie,,,,,,,,9,,Cockapoo,Cockapoo,,
Dog,Pepper,Pep,Pep,,,,,,,,0.791666667,,Cocker Spaniel,Cocker Spaniel,,
Dog,Brownie,Brownie,Brownie,,,,,,,,13,,Beagle,Beagle,,
Cat,Maow,Kitkat,Kitkat,,,,,,,,14,,,,,
Dog,Echo,Beck,Beck,,,,,,,,3,,Corgi,Corgi,,
Dog,Banky,Banky,Banky,,,,,,,,10,,Basset Hound,Basset Hound,,
Dog,Koda,Koda,Koda,,,,,,,,6,,Chihuahua,Chihuahua,,
Dog,Clifford,Cliff,Cliff,,,,,,,,6,,Labrador Retriever,Labrador Retriever,,
Dog,Coco,Coco Bear,Coco Bear,,,,,,,,7,,Maltese/ Yorkipoo,Maltese,Yorkipoo,
Dog,Charlie,Charlie,Charlie,,,,,,,,8,,Pitbull,Pitbull,,
Dog,Mojo,Moj,Moj,,,,,,,,5,,Chiweenie,Chiweenie,,
Horse,Wizarding Wonder,Wizwo,Wizwo,,,,,,,,12,,Shire/ Thoroughbred,Shire,Thoroughbred,
Dog,Hank,Hank,Hank,,,,,,,,2,,Boxer,Boxer,,
Horse,Thunderhawk,Thunder,Thunder,,,,,,,,21,,Spanish Mustang,Spanish Mustang,,
Dog,Sebastian,Fritz,Fritz,,,,,,,,15,,Italian Greyhound/ Jack Russell Terrier,Italian Greyhound,Jack Russell Terrier,
Horse,Cielo,Piglet,Piglet,,,,,,,,4,,,,,
Cat,Bebop Vincent,Beebs,Beebs,,,,,,,,5,,Domestic Shorthair,Domestic Shorthair,,
Horse,Thalia,Thalia,Thalia,,,,,,,,4,,,,,
Horse,Morganna La Fey,Morganna,Morganna,,,,,,,,15,,,,,
Cat,Maja,Maja,Maja,,,,,,,,14,,,,,
Dog,Hank,Hanky,Hanky,,,,,,,,2,,Labrador Retriever,Labrador Retriever,,
Dog,Ella,Ells Bells,Ells Bells,,,,,,,,14.5,,Cocker Spaniel,Cocker Spaniel,,
Dog,Frappuccino,Frappie,Frappie,,,,,,,,7,,Labradoodle,Labradoodle,,
Horse,Texas Pony Smoke,Monster,Monster,,,,,,,,2,,,,,
Dog,Gracie,Grace,Grace,,,,,,,,12,,Shih Tzu,Shih Tzu,,
Horse,Khan,Khan,Khan,,,,,,,,3,,Spanish Mustang,Spanish Mustang,,
Dog,Phoebe,Phoebe,Phoebe,,,,,,,,2,,Golden Doodle,Golden Doodle,,
Dog,Uma Strawn Mcguire,Uma,Uma,,,,,,,,4,,Golden,Golden,,
Dog,Buster,Boop Squared,Boop Squared,,,,,,,,13,,Terrier,Terrier,,
Horse,Reno,Reno,Reno,,,,,,,,,,,,,
Cat,Sketchy Missouri,Sketchy,Sketchy,,,,,,,,12,,Domestic Shorthair,Domestic Shorthair,,
Dog,Eva Marie,Eva,Eva,,,,,,,,3,,Chihuahua,Chihuahua,,
Horse,Boogieman,Boogie,Boogie,,,,,,,,5,,,,,
Dog,Mia Hamm,Mia,Mia,,,,,,,,11,,Golden Retriever,Golden Retriever,,
Cat,Charlie,Charile,Charile,,,,,,,,18,,Tabby Coloration,Tabby Coloration,,
Dog,Alia Atreides,Allie,Allie,,,,,,,,5,,Mixed,Mixed,,
Horse,Legacy,Legacy,Legacy,,,,,,,,15,,,,,
Horse,Mambo No. 5,Mambo,Mambo,,,,,,,,2,,Spanish Mustang,Spanish Mustang,,
Cat,Zoey,Zoe,Zoe,,,,,,,,4,,,,,
Dog,Lexie,Lex,Lex,,,,,,,,0.833333333,,Golden Retriever,Golden Retriever,,
Horse,Mato Ma’hu’i,Mato,Mato,,,,,,,,2,,,,,
Dog,Bernard,Bernard,Bernard,,,,,,,,5,,Boxer,Boxer,,
Horse,Starflower’s Jezebel,Jezebel,Jezebel,,,,,,,,4,,Spanish Mustang,Spanish Mustang,,
Cat,Jenna Nicole Rhea Lopez Horn,Jenna,Jenna,,,,,,,,8,,,,,
Dog,Myles - His Roman Name Is Squirtacus Mylonius,Myles,Myles,,,,,,,,10,,Cockapoo,Cockapoo,,
Horse,Diamond Lily,Lily,Lily,,,,,,,,7,,,,,
Dog,Millie,Millie,Millie,,,,,,,,9.5,,Shepherd,Shepherd,,
Horse,Gypsy Rose Lee,Gypsy,Gypsy,,,,,,,,6,,,,,
Fish,Butters,Butters,Butters,,,,,,,,0.0192,,Goldfish,Goldfish,,
Dog,Bodhi,Bo,Bo,,,,,,,,6,,Golden Retriever,Golden Retriever,,
Dog,Mooch,Mooch,Mooch,,,,,,,,9,,Terrier,Terrier,,
Dog,Piper,Pipes,Pipes,,,,,,,,4,,Wheaten Terrier/ Poodle,Wheaten Terrier,Poodle,
Cat,Ramona,Ramona,Ramona,,,,,,,,12,,,,,
Dog,Charles,Charlie,Charlie,,,,,,,,10,,Corgi,Corgi,,
Horse,Morning Glory,Glory,Glory,,,,,,,,,,,,,
Dog,Willow,Willow,Willow,,,,,,,,3,,Sheepadoodle,Sheepadoodle,,
Horse,Morning Mist,Misty,Misty,,,,,,,,,,,,,
Dog,Glamis Schedule K1,Kona,Kona,,,,,,,,5,,Golden Retriever,Golden Retriever,,
Dog,Bandit Raye,Bandi,Bandi,,,,,,,,12,,Mixed,Mixed,,
Horse,Syndicated Copper,Copper,Copper,,,,,,,,,,,,,
Cat,Cleo,Cleo,Cleo,,,,,,,,13,,Domestic Shorthair,Domestic Shorthair,,
Cat,Sebastian Ninja Nutjob,Sebastian,Sebastian,,,,,,,,11,,Domestic Shorthair,Domestic Shorthair,,
Dog,Anderson,Andy,Andy,,,,,,,,12,,Labrador Retriever,Labrador Retriever,,
Dog,Mars Harambe,Pickle,Pickle,,,,,,,,3,,Catahoula,Catahoula,,
Dog,Claudio Atlas Wolfric,Claudio,Claudio,,,,,,,,8,,Dachshund,Dachshund,,
Rabbit,Flufy,Flufy,Flufy,,,,,,,,10,,Lionhead,Lionhead,,
Dog,Lawson H Dog,Hogan,Hogan,,,,,,,,16,,Briard,Briard,,
Cat,Smudge The Second,Deuce,Deuce,,,,,,,,4,,Himalayan,Himalayan,,
Dog,Tucker,Tucker; Dude; Bud,Tucker,Dude,Bud,,,,,,1,,Bully,Bully,,
Cat,Echo,Echo,Echo,,,,,,,,18,,,,,
Dog,Ames,Ames,Ames,,,,,,,,5,,Husky,Husky,,
Dog,Franc,Franc,Franc,,,,,,,,0.333333333,,Mastiff,Mastiff,,
Cat,Winnie,Winnie,Winnie,,,,,,,,0.333333333,,,,,
Cat,Tiggy,,,,,,,,,,0.333333333,,,,,
Dog,Oliver Jackson,Oliver; Baby; Little Man,Oliver,Baby,Little Man,,,,,,5.5,,Morkie,Morkie,,
Dog,Dolly Doodle Dogger,Dolly,Dolly,,,,,,,,6,,Labradoodle,Labradoodle,,
Cat,Ann Perkins,Ann,Ann,,,,,,,,0.5,,Unknown,Unknown,,
Dog,Cassie,Cassie,Cassie,,,,,,,,5,,Mixed,Mixed,,
Cat,Kisa Marie,Kisa,Kisa,,,,,,,,6,,,,,
Dog,Logan,Logan Brogran,Logan Brogran,,,,,,,,2,,Rhodesian Ridgeback,Rhodesian Ridgeback,,
Dog,Basil,Basil,Basil,,,,,,,,7,,Labrador Retriever/ German Shepherd,Labrador Retriever,German Shepherd,
Dog,Marble,Marble,Marble,,,,,,,,5,,Plott/ Coonhound,Plott,Coonhound,
Dog,Hollie,Hollie,Hollie,,,,,,,,14,,West Highland White Terrier,West Highland White Terrier,,
Dog,Cash Money,Cashie,Cashie,,,,,,,,2,,Labrador Retriever,Labrador Retriever,,
Dog,Seamus,Shamie Bameee,Shamie Bameee,,,,,,,,11,,Rhodesian Ridgeback,Rhodesian Ridgeback,,
Cat,William Robert,Billy,Billy,,,,,,,,3,,,,,
Dog,Nash,Nash,Nash,,,,,,,,2,,Labrador Retriever,Labrador Retriever,,
Cat,Spoons,Spoons,Spoons,,,,,,,,3,,Calico Coloration,Calico Coloration,,
Cat,Arizona,Arizona,Arizona,,,,,,,,7,,Domestic Shorthair,Domestic Shorthair,,
Dog,Sian Ben Ryan,Sian; Sisi,Sian,Sisi,,,,,,,14,,West Highland White Terrier,West Highland White Terrier,,
Dog,Bear 2,Bear,Bear,,,,,,,,7.5,,Retriever,Retriever,,
Cat,Banjo,Banj,Banj,,,,,,,,3,,Domestic Shorthair,Domestic Shorthair,,
Chinchilla,Fossedini Heraldo Macduff,Fosse,Fosse,,,,,,,,10,,,,,
Cat,Princess Melanie,Melanie,Melanie,,,,,,,,5,,Domestic Longhair,Domestic Longhair,,
Cat,Tiffany Marie,Tiffany,Tiffany,,,,,,,,13,,Domestic Shorthair,Domestic Shorthair,,
Dog,Charles Barrath Mcintyre,Barry,Barry,,,,,,,,6,,Basset Hound,Basset Hound,,
Dog,Margeurite Larioux Gonzales,Maggie,Maggie,,,,,,,,6,,Chihuahua/ Labrador Retriever,Chihuahua,Labrador Retriever,
Dog,Rusty,Rusty,Rusty,,,,,,,,2,,Labrador Retriever,Labrador Retriever,,
Dog,Starfire,Star,Star,,,,,,,,15,,Maltese/ Poodle,Maltese,Poodle,
Dog,Nova,Nova,Nova,,,,,,,,3,,Mixed,Mixed,,
Dog,Dinty,The Dint,The Dint,,,,,,,,5,,Terrier,Terrier,,
Cat,Hamilton,Hammy Bits,Hammy Bits,,,,,,,,3,,,,,
Dog,Kadie Jo,Kadie Jo,Kadie Jo,,,,,,,,6,,Labrador Retriever,Labrador Retriever,,
Cat,Incandenza,Ink,Ink,,,,,,,,3,,,,,
Cat,Fitzgerald,Fitz,Fitz,,,,,,,,8,,Domestic Shorthair,Domestic Shorthair,,
